year,uitp_region,new_track_length,new_track_track_costs,new_track_rolling_stock_costs,new_track_rolling_stock_costs_cars,value_USDm,value_USDm_cars
2014,Asia-Pacific,342.0,58860.34661935381,,,,
2015,Asia-Pacific,465.0,86037.97888355645,34496.65982608696,5721.80175,120534.63870964342,91759.78063355645
2016,Asia-Pacific,649.0,122346.38748171338,47671.609194707,8014.2843,170017.9966764204,130360.67178171338
2017,Asia-Pacific,965.0,182060.4780427691,67790.81517786562,11089.057913793102,249851.29322063472,193149.5359565622
2018,Asia-Pacific,574.0,107030.02943282285,41374.29434782609,7137.065775,148404.32378064893,114167.09520782284
2019,Asia-Pacific,1078.0,205321.69208491582,88707.63333925458,14926.133482081545,294029.3254241704,220247.82556699737
2020,Asia-Pacific,1234.0,247373.4231466644,126763.54652435271,20977.6601255004,374136.96967101714,268351.0832721648
2021,Asia-Pacific,962.75,200239.89196569816,96613.91464047902,15675.699015020633,296853.8066061772,215915.59098071879
2022,Asia-Pacific,962.75,198864.22578482635,103254.5075115715,16170.097540106915,302118.73329639784,215034.32332493327
2023,Asia-Pacific,962.75,207461.5451760521,78021.5367364378,12077.360797237317,285483.0819124899,219538.90597328942
2014,Eurasia,15.0,2581.594149971658,,,,
2015,Eurasia,8.0,1480.223292620326,593.4909217391305,148.315664,2073.7142143594565,1628.538956620326
2016,Eurasia,11.0,2073.66758443582,807.9933761814747,204.65855952542375,2881.6609606172947,2278.326143961244
2017,Eurasia,12.0,2263.9644937960925,842.9945928853756,207.7618311724138,3106.959086681468,2471.726324968506
2018,Eurasia,39.0,7272.075170522807,2811.145434782609,730.6166985000001,10083.220605305416,8002.691869022807
2019,Eurasia,18.0,3428.3770478000783,1481.2035251452528,375.50717999448193,4909.580572945331,3803.8842277945605
2020,Eurasia,40.0,8018.587460183611,4109.029060756976,1024.5167343842443,12127.616520940588,9043.104194567855
2021,Eurasia,27.25,5667.657290122332,2734.592754041084,668.493325605502,8402.250044163415,6336.150615727834
2022,Eurasia,27.25,5628.719971577791,2922.5503294628134,689.5770497758051,8551.270301040604,6318.2970213535955
2023,Eurasia,27.25,5872.061392934219,2208.3478328412675,515.0414712700496,8080.409225775486,6387.102864204268
2014,Europe,96.0,16522.202559818616,,,,
2015,Europe,25.0,4625.697789438519,1854.6591304347828,348.64025,6480.356919873302,4974.338039438519
2016,Europe,37.0,6975.063693102304,2717.7959017013236,517.8207318644068,9692.859594803627,7492.884424966711
2017,Europe,45.0,8489.866851735347,3161.2297233201584,586.0538379310344,11651.096575055506,9075.920689666382
2018,Europe,23.0,4288.659715949348,1657.8550000000002,324.1106525,5946.514715949348,4612.770368449348
2019,Europe,19.0,3618.8424393445275,1563.4926098755445,298.1534393761496,5182.335049220072,3916.995878720677
2020,Europe,47.0,9421.840265715742,4828.109146389447,905.5186623595256,14249.94941210519,10327.358928075268
2021,Europe,33.5,6967.5786869393805,3361.7929269862866,618.1812924126548,10329.371613925667,7585.759979352035
2022,Europe,33.5,6919.710790747008,3592.8600380552016,637.6782168504035,10512.57082880221,7557.389007597411
2023,Europe,33.5,7218.864464708123,2714.849629364494,476.278505948353,9933.714094072617,7695.142970656476
2014,Latin America,49.0,8433.207556574083,,,,
2015,Latin America,15.0,2775.4186736631113,1112.7954782608697,236.25504,3888.2141519239813,3011.6737136631114
2016,Latin America,22.0,4147.33516887164,1615.9867523629493,347.7384374237288,5763.321921234589,4495.073606295369
2017,Latin America,32.0,6037.238650122913,2247.985581027668,470.68167062068954,8285.224231150582,6507.920320743602
2018,Latin America,24.0,4475.123181860188,1729.9356521739132,381.969792,6205.058834034102,4857.092973860188
2019,Latin America,50.0,9523.26957722244,4114.454236514591,886.1526371551196,13637.72381373703,10409.422214377559
2020,Latin America,19.0,3808.8290435872154,1951.7888038595636,413.43330166302246,5760.617847446779,4222.262345250238
2021,Latin America,31.25,6499.606984085242,3136.000864726014,651.288455570839,9635.607848811256,7150.895439656081
2022,Latin America,31.25,6454.95409584609,3351.5485429619416,671.8295524323829,9806.502638808031,7126.783648278473
2023,Latin America,31.25,6734.0153588695175,2532.5089826161325,501.7859588569127,9266.52434148565,7235.80131772643
2014,MENA,25.0,4302.65691661943,,,,
2015,MENA,49.0,9066.367667299497,3635.1318956521745,530.589444,12701.49956295167,9596.957111299496
2016,MENA,5.0,942.5761747435546,367.26971644612485,54.33413084745763,1309.8458911896794,996.9103055910123
2017,MENA,46.0,8678.530559551687,3231.479272727273,465.1658697931033,11910.00983227896,9143.69642934479
2018,MENA,41.0,7645.002102344489,2955.3067391304353,448.61556299999995,10600.308841474924,8093.617665344489
2019,MENA,87.0,16570.489064367048,7159.150371535388,1060.0600921968116,23729.639435902434,17630.54915656386
2020,MENA,18.0,3608.364357082625,1849.0630773406392,269.2756372673633,5457.427434423264,3877.6399943499882
2021,MENA,48.0,9983.396327554932,4816.897328219156,687.7606090828059,14800.293655774089,10671.156936637739
2022,MENA,48.0,9914.809491219594,5147.978561989543,709.4520073685962,15062.788053209137,10624.26149858819
2023,MENA,48.0,10343.44759122358,3889.9337972983794,529.8859725528997,14233.381388521959,10873.33356377648
2014,North America,10.0,1721.0627666477722,,,,
2015,North America,2.0,370.0558231550815,148.37273043478262,28.875616,518.4285535898641,398.9314391550815
2016,North America,15.0,2827.728524230664,1101.8091493383745,217.33652338983052,3929.5376735690384,3045.0650476204946
2017,North America,26.0,4905.2564032248665,1826.4882845849804,350.55978593103447,6731.744687809847,5255.816189155901
2018,North America,0.0,0.0,0.0,0.0,0.0,0.0
2019,North America,0.0,0.0,0.0,0.0,0.0,0.0
2020,North America,16.0,3207.4349840734444,1643.6116243027905,319.14149602057876,4851.046608376235,3526.5764800940233
2021,North America,10.5,2183.8679466526414,1053.6962905479406,200.59684431581843,3237.5642372005823,2384.46479096846
2022,North America,10.5,2168.864576204286,1126.1203104352126,206.92350214917394,3294.9848866394987,2375.78807835346
2023,North America,10.5,2262.629160580158,850.9230181590206,154.55007532792914,3113.5521787391785,2417.1792359080873
