uitp_region,distributed_year,distributed_length,distributed_cars,distributed_real_cost,cost_per_cars,car_cost_per_km
Asia-Pacific,2012,1437.5,75.0,72.239536872,0.9631938249600001,0.050253590867478264
Asia-Pacific,2013,1437.5,75.0,72.239536872,0.9631938249600001,0.050253590867478264
Asia-Pacific,2015,3450.0,156.0,162.11350224588,1.0391891169607692,0.04698942094083478
Asia-Pacific,2016,5290.0,236.0,241.63818626028,1.0238906197469493,0.04567829607944802
Asia-Pacific,2017,2530.0,116.0,106.75235294028,0.9202789046575862,0.04219460590524901
Asia-Pacific,2018,5276.0,260.0,247.98452934773334,0.9537866513374359,0.04700237478160223
Asia-Pacific,2019,15633.133333333333,723.6666666666666,778.5780786368816,1.075879426951011,0.04980307287322748
Asia-Pacific,2020,21735.13333333333,1009.3333333333334,1313.432418957599,1.30128707294346,0.06042900215124511
Asia-Pacific,2021,33168.63333333333,1454.0,1298.2026715191266,0.892849155102563,0.039139468258237754
Asia-Pacific,2022,27174.233333333334,1204.3333333333333,965.5621186282835,0.8017399268986578,0.03553226715853192
Asia-Pacific,2023,35046.166666666664,1641.0,1241.7568439268093,0.7567074003210295,0.03543203043395548
Asia-Pacific,2024,34244.53333333333,1627.0,1603.482520007358,0.9855454947801832,0.04682448157196939
Asia-Pacific,2025,14015.5,679.0,643.2364145455643,0.9473290346768253,0.04589464625204697
Asia-Pacific,2026,9491.666666666666,450.6666666666667,541.5982026203653,1.2017711596605738,0.057060390091697846
Eurasia,2024,213.33333333333334,10.666666666666666,23.42748691833333,2.1963268985937496,0.10981634492968748
Eurasia,2025,213.33333333333334,10.666666666666666,23.42748691833333,2.1963268985937496,0.10981634492968748
Eurasia,2026,213.33333333333334,10.666666666666666,23.42748691833333,2.1963268985937496,0.10981634492968748
Europe,2006,1512.0,100.0,109.08014783499999,1.09080147835,0.07214295491732804
Europe,2007,1512.0,100.0,109.08014783499999,1.09080147835,0.07214295491732804
Europe,2008,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2009,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2010,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2011,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2012,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
Europe,2013,4929.139999999999,302.1,502.031293396,1.6618050095862298,0.10184967223410171
Europe,2014,6159.606666666667,351.76666666666665,656.1935759106,1.8654228444345684,0.10653173350526711
Europe,2015,6159.606666666667,351.76666666666665,656.1935759106,1.8654228444345684,0.10653173350526711
Europe,2016,3748.9066666666668,219.76666666666668,428.15787726559995,1.9482384829315937,0.11420873212783815
Europe,2017,3964.74,238.10000000000002,427.55166466640003,1.7956810779773205,0.10783851265565965
Europe,2018,5487.0,342.9,550.4660753024,1.605325387291922,0.1003218653731365
Europe,2019,8853.0,522.775,1032.3251512395,1.974702599090431,0.11660738181853608
Europe,2020,9273.1,532.775,1167.6809612345,2.191696234309981,0.12592131662922862
Europe,2021,9053.5,528.775,1192.3137192694999,2.2548602321772018,0.13169643997012204
Europe,2022,15146.064285714285,945.7511904761905,2102.977138020462,2.2236050656849846,0.1388464421086594
Europe,2023,18849.33095238095,1131.3511904761904,2372.485654602262,2.0970373077555813,0.12586577532093157
Europe,2024,17819.730952380953,1063.8511904761904,2150.288493557262,2.0212305187107713,0.12066896516582676
Europe,2025,16975.664285714287,1019.8511904761905,2062.534440390595,2.0223876381686168,0.12149948335902837
Europe,2026,7137.047619047619,408.3511904761905,951.5531151905952,2.3302322544498053,0.13332587450461375
Europe,2027,3286.5476190476193,201.47619047619048,426.79943862809523,2.118361666554006,0.12986254516883397
Europe,2028,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2029,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2030,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2031,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2032,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2033,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2034,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
Europe,2035,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
North America,2008,6128.9,334.0,647.7,1.9392215568862277,0.10567964887663367
North America,2009,6128.9,334.0,647.7,1.9392215568862277,0.10567964887663367
North America,2010,7922.9,412.0,892.00982939,2.165072401432039,0.1125862789370054
North America,2011,1794.0,78.0,244.30982939000003,3.1321772998717954,0.13618162173355633
North America,2012,3933.0,171.0,439.43378309,2.5697882052046785,0.11172992196542081
North America,2013,2846.6111111111113,119.11111111111111,308.45728703333333,2.5896600590485073,0.1083594755284061
North America,2014,707.6111111111111,26.11111111111111,113.33333333333333,4.340425531914893,0.16016330376069718
North America,2015,1157.1565656565656,45.656565656565654,191.33333333333331,4.19070796460177,0.16534783538541442
North America,2016,5118.289898989899,241.26767676767676,700.325824098914,2.9026922855201898,0.1368280886624113
North America,2017,5118.289898989899,241.26767676767676,700.325824098914,2.9026922855201898,0.1368280886624113
North America,2018,4745.6232323232325,229.93434343434345,672.5766014466667,2.925081096633646,0.14172566352626462
North America,2019,7003.573232323232,346.4343434343434,998.5073375296666,2.88224119938878,0.14257112825226229
North America,2020,5540.773232323232,266.9343434343434,814.6173375296667,3.051751704366337,0.14702232041864302
North America,2021,5371.439898989899,256.2676767676768,790.3474027496667,3.084069800446069,0.14713883383453508
North America,2022,11597.895454545454,498.32323232323233,2229.6922875178334,4.474389598740534,0.192249731535903
North America,2023,11597.895454545454,498.32323232323233,2229.6922875178334,4.474389598740534,0.192249731535903
North America,2024,5595.845454545455,285.32323232323233,865.0560617178334,3.0318458636338548,0.15458898369238486
North America,2025,3639.512121212121,191.21212121212122,591.9727283845,3.0958954099347857,0.16265167106720516
North America,2026,3189.9666666666667,171.66666666666666,513.9727283845,2.994015893501942,0.16112166116192436
North America,2027,546.6666666666666,34.166666666666664,92.5815819015,2.7097048361414635,0.16935655225884147
global min,2006,1512.0,100.0,109.08014783499999,1.09080147835,0.07214295491732804
global min,2007,1512.0,100.0,109.08014783499999,1.09080147835,0.07214295491732804
global min,2008,5008.184,318.9,559.5582994522,1.7546512996306054,0.10567964887663367
global min,2009,5008.184,318.9,559.5582994522,1.7546512996306054,0.10567964887663367
global min,2010,5008.184,318.9,559.5582994522,1.7546512996306054,0.11172878221970278
global min,2011,1794.0,78.0,244.30982939000003,1.7546512996306054,0.11172878221970278
global min,2012,1437.5,75.0,72.239536872,0.9631938249600001,0.050253590867478264
global min,2013,1437.5,75.0,72.239536872,0.9631938249600001,0.050253590867478264
global min,2014,707.6111111111111,26.11111111111111,113.33333333333333,1.8654228444345684,0.10653173350526711
global min,2015,1157.1565656565656,45.656565656565654,162.11350224588,1.0391891169607692,0.04698942094083478
global min,2016,3748.9066666666668,219.76666666666668,241.63818626028,1.0238906197469493,0.04567829607944802
global min,2017,2530.0,116.0,106.75235294028,0.9202789046575862,0.04219460590524901
global min,2018,4745.6232323232325,229.93434343434345,247.98452934773334,0.9537866513374359,0.04700237478160223
global min,2019,7003.573232323232,346.4343434343434,778.5780786368816,1.075879426951011,0.04980307287322748
global min,2020,5540.773232323232,266.9343434343434,814.6173375296667,1.30128707294346,0.06042900215124511
global min,2021,5371.439898989899,256.2676767676768,790.3474027496667,0.892849155102563,0.039139468258237754
global min,2022,11597.895454545454,498.32323232323233,965.5621186282835,0.8017399268986578,0.03553226715853192
global min,2023,11597.895454545454,498.32323232323233,1241.7568439268093,0.7567074003210295,0.03543203043395548
global min,2024,213.33333333333334,10.666666666666666,23.42748691833333,0.9855454947801832,0.04682448157196939
global min,2025,213.33333333333334,10.666666666666666,23.42748691833333,0.9473290346768253,0.04589464625204697
global min,2026,213.33333333333334,10.666666666666666,23.42748691833333,1.2017711596605738,0.057060390091697846
global min,2027,546.6666666666666,34.166666666666664,92.5815819015,2.118361666554006,0.12986254516883397
global min,2028,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2029,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2030,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2031,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2032,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2033,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2034,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
global min,2035,1623.2142857142858,107.14285714285714,225.65327957142858,2.1060972760000003,0.13901632184818483
